Offset-Description                                                                   
0000 - Float             7FF4AE2BDA10 : 68.29986572    7FF4AFBE69F0 : 68.29986572    
0960 - 4 Bytes           7FF4AE2BE370 : 1766219602     7FF4AFBE7350 : 0              
0964 - 4 Bytes           7FF4AE2BE374 : 1919248238     7FF4AFBE7354 : 2147483648     
0968 - 4 Bytes           7FF4AE2BE378 : 12592          7FF4AFBE7358 : 0              
096C - 4 Bytes           7FF4AE2BE37C : 0              7FF4AFBE735C : 0              
0970 - 4 Bytes           7FF4AE2BE380 : 1766219602     7FF4AFBE7360 : 0              
0974 - 4 Bytes           7FF4AE2BE384 : 1919248238     7FF4AFBE7364 : 0              
0978 - 4 Bytes           7FF4AE2BE388 : 12848          7FF4AFBE7368 : 0              
097C - 4 Bytes           7FF4AE2BE38C : 0              7FF4AFBE736C : 2147483648     
0980 - 4 Bytes           7FF4AE2BE390 : 1766219602     7FF4AFBE7370 : 0              
0984 - 4 Bytes           7FF4AE2BE394 : 1919248238     7FF4AFBE7374 : 0              
0988 - 4 Bytes           7FF4AE2BE398 : 49             7FF4AFBE7378 : 0              
098C - 4 Bytes           7FF4AE2BE39C : 0              7FF4AFBE737C : 0              
0990 - 4 Bytes           7FF4AE2BE3A0 : 1766219602     7FF4AFBE7380 : 0              
0994 - 4 Bytes           7FF4AE2BE3A4 : 1919248238     7FF4AFBE7384 : 2147483648     
0998 - 4 Bytes           7FF4AE2BE3A8 : 9              7FF4AFBE7388 : 1              
099C - 4 Bytes           7FF4AE2BE3AC : 0              7FF4AFBE738C : 0              
09A0 - 4 Bytes           7FF4AE2BE3B0 : 287            7FF4AFBE7390 : 567            
09A4 - 4 Bytes           7FF4AE2BE3B4 : 1919248238     7FF4AFBE7394 : 518            
09A8 - 4 Bytes           7FF4AE2BE3B8 : 12849          7FF4AFBE7398 : 287            
09AC - 4 Bytes           7FF4AE2BE3BC : 0              7FF4AFBE739C : 2147483648     
09B0 - 4 Bytes           7FF4AE2BE3C0 : 1766219602     7FF4AFBE73A0 : 0              
09B4 - 4 Bytes           7FF4AE2BE3C4 : 1919248238     7FF4AFBE73A4 : 0              
09B8 - 4 Bytes           7FF4AE2BE3C8 : 50             7FF4AFBE73A8 : 0              
09BC - 4 Bytes           7FF4AE2BE3CC : 0              7FF4AFBE73AC : 0              
09C0 - 4 Bytes           7FF4AE2BE3D0 : 1766219602     7FF4AFBE73B0 : 0              
09C4 - 4 Bytes           7FF4AE2BE3D4 : 1919248238     7FF4AFBE73B4 : 2147483648     
09C8 - 4 Bytes           7FF4AE2BE3D8 : 12594          7FF4AFBE73B8 : 0              
09CC - 4 Bytes           7FF4AE2BE3DC : 0              7FF4AFBE73BC : 0              
09D0 - 4 Bytes           7FF4AE2BE3E0 : 1766219602     7FF4AFBE73C0 : 0              
09D4 - Pointer           7FF4AE2BE3E4 : P->32327265676E7FF4AFBE73C4 : P->00000000    
09DC - Pointer           7FF4AE2BE3EC : P->69465F5200007FF4AFBE73CC : P->80000000    
09E4 - 4 Bytes           7FF4AE2BE3F4 : 1919248238     7FF4AFBE73D4 : 0              
09E8 - 4 Bytes           7FF4AE2BE3F8 : 1              7FF4AFBE73D8 : 3              
09EC - Pointer           7FF4AE2BE3FC : P->1B00000000  7FF4AFBE73DC : P->00000000    
09F4 - Pointer           7FF4AE2BE404 : P->1D0000001C  7FF4AFBE73E4 : P->80000000    
09FC - Pointer           7FF4AE2BE40C : P->1F0000001E  7FF4AFBE73EC : P->00000000    
0A04 - 4 Bytes           7FF4AE2BE414 : 32             7FF4AFBE73F4 : 0              
0A08 - 4 Bytes           7FF4AE2BE418 : 33             7FF4AFBE73F8 : 0              
0A0C - Pointer to instance of DLKRD::HeapAllocator<DLKR::DLDynamicHeap<DLKR::DLBiHeapStrategy<DLKR::DLRobustHeap,DLKR::DLMultiThreadingPolicy> > >7FF4AE2BE41C : P->27200000022 7FF4AFBE73FC : P->80000000    
0A14 - Pointer to instance of DLKRD::HeapAllocator<DLKR::DLDynamicHeap<DLKR::DLBiHeapStrategy<DLKR::DLRobustHeap,DLKR::DLMultiThreadingPolicy> > >7FF4AE2BE424 : P->26C0000026B 7FF4AFBE7404 : P->00000000    
0A1C - Pointer to instance of DLKRD::HeapAllocator<DLKR::DLDynamicHeap<DLKR::DLBiHeapStrategy<DLKR::DLRobustHeap,DLKR::DLMultiThreadingPolicy> > >7FF4AE2BE42C : P->26E0000026D 7FF4AFBE740C : P->00000000    
0A24 - 4 Bytes           7FF4AE2BE434 : 623            7FF4AFBE7414 : 2147483648     
0A28 - 4 Bytes           7FF4AE2BE438 : 624            7FF4AFBE7418 : 0              
0A2C - 4 Bytes           7FF4AE2BE43C : 625            7FF4AFBE741C : 0              
0A30 - 4 Bytes           7FF4AE2BE440 : 1766219602     7FF4AFBE7420 : 0              
0A34 - 4 Bytes           7FF4AE2BE444 : 1919248238     7FF4AFBE7424 : 0              
0A38 - 4 Bytes           7FF4AE2BE448 : 12852          7FF4AFBE7428 : 0              
0A3C - Pointer to instance of DLKRD::HeapAllocator<DLKR::DLDynamicHeap<DLKR::DLBiHeapStrategy<DLKR::DLRobustHeap,DLKR::DLMultiThreadingPolicy> > >7FF4AE2BE44C : P->65575F5200007FF4AFBE742C : P->80000000    
0A44 - 4 Bytes           7FF4AE2BE454 : 1852797025     7FF4AFBE7434 : 0              
0A48 - 4 Bytes           7FF4AE2BE458 : 3223600        7FF4AFBE7438 : 0              
0A4C - 4 Bytes           7FF4AE2BE45C : 0              7FF4AFBE743C : 0              
0A50 - 4 Bytes           7FF4AE2BE460 : 1884643154     7FF4AFBE7440 : 0              
0A54 - 4 Bytes           7FF4AE2BE464 : 1416458817     7FF4AFBE7444 : 2147483648     
0A58 - 4 Bytes           7FF4AE2BE468 : 1953720695     7FF4AFBE7448 : 0              
0A5C - 4 Bytes           7FF4AE2BE46C : 0              7FF4AFBE744C : 0              
0A60 - 4 Bytes           7FF4AE2BE470 : 1884643154     7FF4AFBE7450 : 0              
0A64 - 4 Bytes           7FF4AE2BE474 : 1416458817     7FF4AFBE7454 : 0              
0A68 - 4 Bytes           7FF4AE2BE478 : 1953720695     7FF4AFBE7458 : 0              
0A6C - 4 Bytes           7FF4AE2BE47C : 49             7FF4AFBE745C : 2147483648     
0A70 - 4 Bytes           7FF4AE2BE480 : 1869768788     7FF4AFBE7460 : 0              
0A74 - Pointer to instance of DLKRD::HeapAllocator<DLKR::DLDynamicHeap<DLKR::DLBiHeapStrategy<DLKR::DLRobustHeap,DLKR::DLMultiThreadingPolicy> > >7FF4AE2BE484 : P->1061545F77  7FF4AFBE7464 : P->00000000    
0A7C - 4 Bytes           7FF4AE2BE48C : 0              7FF4AFBE746C : 0              
0A80 - 4 Bytes           7FF4AE2BE490 : 2972023312     7FF4AFBE7470 : 2973023440     
0A84 - 4 Bytes           7FF4AE2BE494 : 32756          7FF4AFBE7474 : 32756          
0A88 - 4 Bytes           7FF4AE2BE498 : 2972023312     7FF4AFBE7478 : 2973023440     
0A8C - String            7FF4AE2BE49C : ô             7FF4AFBE747C : ô             
0A90 - 4 Bytes           7FF4AE2BE4A0 : 2972023320     7FF4AFBE7480 : 2973023456     
0A94 - 4 Bytes           7FF4AE2BE4A4 : 32756          7FF4AFBE7484 : 32756          
0A98 - 4 Bytes           7FF4AE2BE4A8 : 1147387800     7FF4AFBE7488 : 1147387800     
0A9C - 4 Bytes           7FF4AE2BE4AC : 1              7FF4AFBE748C : 1              
0AA0 - 4 Bytes           7FF4AE2BE4B0 : 0              7FF4AFBE7490 : 0              
0AA4 - 4 Bytes           7FF4AE2BE4B4 : 0              7FF4AFBE7494 : 0              
0AA8 - 4 Bytes           7FF4AE2BE4B8 : 2922112216     7FF4AFBE7498 : 2948494520     
0AAC - 4 Bytes           7FF4AE2BE4BC : 32756          7FF4AFBE749C : 32756          
0AB0 - 4 Bytes           7FF4AE2BE4C0 : 21456          7FF4AFBE74A0 : 0              
0AB4 - 4 Bytes           7FF4AE2BE4C4 : 0              7FF4AFBE74A4 : 2147483648     
0AB8 - 4 Bytes           7FF4AE2BE4C8 : 10             7FF4AFBE74A8 : 11             
0ABC - 4 Bytes           7FF4AE2BE4CC : 0              7FF4AFBE74AC : 0              
0AC0 - 4 Bytes           7FF4AE2BE4D0 : 63             7FF4AFBE74B0 : 63             
0AC4 - 4 Bytes           7FF4AE2BE4D4 : 0              7FF4AFBE74B4 : 0              
0AC8 - 4 Bytes           7FF4AE2BE4D8 : 7602241        7FF4AFBE74B8 : 6357060        
0ACC - 4 Bytes           7FF4AE2BE4DC : 6357108        7FF4AFBE74BC : 6357101        
0AD0 - 4 Bytes           7FF4AE2BE4E0 : 7012451        7FF4AFBE74C0 : 6619239        
0AD4 - 4 Bytes           7FF4AE2BE4E4 : 3145779        7FF4AFBE74C4 : 7143507        
0AD8 - 4 Bytes           7FF4AE2BE4E8 : 3211312        7FF4AFBE74C8 : 7077985        
0ADC - 4 Bytes           7FF4AE2BE4EC : 5373952        7FF4AFBE74CC : 108            
0AE0 - 4 Bytes           7FF4AE2BE4F0 : 6750313        7FF4AFBE74D0 : 6750208        
0AE4 - 4 Bytes           7FF4AE2BE4F4 : 7602280        7FF4AFBE74D4 : 7602280        
0AE8 - 4 Bytes           7FF4AE2BE4F8 : 3670065        7FF4AFBE74D8 : 50             
0AEC - 4 Bytes           7FF4AE2BE4FC : 48             7FF4AFBE74DC : 7012451        
0AF0 - 4 Bytes           7FF4AE2BE500 : 1147338752     7FF4AFBE74E0 : 1147338752     
0AF4 - 4 Bytes           7FF4AE2BE504 : 1              7FF4AFBE74E4 : 1              
0AF8 - 4 Bytes           7FF4AE2BE508 : 48             7FF4AFBE74E8 : 48             
0AFC - Pointer to instance of DLKRD::HeapAllocator<DLKR::Win32RuntimeHeapImpl>7FF4AE2BE50C : P->417D980200007FF4AFBE74EC : P->417D980200000000
0B04 - Pointer           7FF4AE2BE514 : P->800000001   7FF4AFBE74F4 : P->800000001   
0B0C - 4 Bytes           7FF4AE2BE51C : 0              7FF4AFBE74FC : 0              
0B10 - 4 Bytes           7FF4AE2BE520 : 1098417454     7FF4AFBE7500 : 1098417454     
0B14 - Pointer to instance of DLKRD::HeapAllocator<DLKR::Win32RuntimeHeapImpl>7FF4AE2BE524 : P->4463BFA800007FF4AFBE7504 : P->4463BFA800000001
0B1C - Pointer           7FF4AE2BE52C : P->C3FD06D900007FF4AFBE750C : P->91F3E3F000000001
0B24 - 4 Bytes           7FF4AE2BE534 : 1065353216     7FF4AFBE7514 : 32756          
0B28 - 4 Bytes           7FF4AE2BE538 : 2922109424     7FF4AFBE7518 : 2948491728     
0B2C - Pointer to instance of DLKRD::HeapAllocator<DLKR::Win32RuntimeHeapImpl>7FF4AE2BE53C : P->400109EC00007FF4AFBE751C : P->400109EC00007FF4
0B34 - 4 Bytes           7FF4AE2BE544 : 1              7FF4AFBE7524 : 1              
0B38 - 4 Bytes           7FF4AE2BE548 : 8              7FF4AFBE7528 : 8              
0B3C - 4 Bytes           7FF4AE2BE54C : 0              7FF4AFBE752C : 0              
0B40 - 4 Bytes           7FF4AE2BE550 : 1089044811     7FF4AFBE7530 : 1089044811     
0B44 - Pointer           7FF4AE2BE554 : P->7002080000007FF4AFBE7534 : P->20800000001 
0B4C - Pointer           7FF4AE2BE55C : P->F007010070017FF4AFBE753C : P->100000000   
0B54 - Pointer           7FF4AE2BE564 : P->F0010000F0077FF4AFBE7544 : P->00000000    
0B5C - 4 Bytes           7FF4AE2BE56C : 10487109       7FF4AFBE754C : 2147483648     
0B60 - 4 Bytes           7FF4AE2BE570 : 1114847184     7FF4AFBE7550 : 1114847184     
0B64 - Pointer           7FF4AE2BE574 : P->3C88886500007FF4AFBE7554 : P->3C88886500000001
0B6C - Pointer           7FF4AE2BE57C : P->00F00145    7FF4AFBE755C : P->00000000    
0B74 - 4 Bytes           7FF4AE2BE584 : 0              7FF4AFBE7564 : 0              
0B78 - 4 Bytes           7FF4AE2BE588 : 0              7FF4AFBE7568 : 0              
0B7C - Pointer           7FF4AE2BE58C : P->00000000    7FF4AFBE756C : P->00000000    
0B84 - Pointer           7FF4AE2BE594 : P->4463BF9800007FF4AFBE7574 : P->4463BF9800000000
0B8C - 4 Bytes           7FF4AE2BE59C : 1              7FF4AFBE757C : 1              
0B90 - 4 Bytes           7FF4AE2BE5A0 : 1065353216     7FF4AFBE7580 : 1065353216     
0B94 - Pointer           7FF4AE2BE5A4 : P->D600B40345  7FF4AFBE7584 : P->D600000000  
0B9C - Pointer           7FF4AE2BE5AC : P->1250000011A 7FF4AFBE758C : P->1250000011A 
0BA4 - Pointer           7FF4AE2BE5B4 : P->19A0000011F 7FF4AFBE7594 : P->19A0000011F 
0BAC - Pointer to instance of NS_SPRJ::SprjScaleformThreadCommandQueue7FF4AE2BE5BC : P->CD000000C9  7FF4AFBE759C : P->CD000000C9  
0BB4 - Pointer           7FF4AE2BE5C4 : P->1590000015A 7FF4AFBE75A4 : P->1590000015A 
0BBC - 4 Bytes           7FF4AE2BE5CC : 202            7FF4AFBE75AC : 202            
0BC0 - 4 Bytes           7FF4AE2BE5D0 : 256            7FF4AFBE75B0 : 256            
0BC4 - 4 Bytes           7FF4AE2BE5D4 : 255            7FF4AFBE75B4 : 255            
0BC8 - 4 Bytes           7FF4AE2BE5D8 : 42             7FF4AFBE75B8 : 42             
0BCC - Double            7FF4AE2BE5DC : 4.24399160218727FF4AFBE75BC : Nan            
0BD4 - Float             7FF4AE2BE5E4 : 4.203895393E-457FF4AFBE75C4 : Nan            
0BD8 - Float             7FF4AE2BE5E8 : 5.605193857E-457FF4AFBE75C8 : Nan            
0BDC - Float             7FF4AE2BE5EC : 7.006492322E-457FF4AFBE75CC : Nan            
0BE0 - Float             7FF4AE2BE5F0 : 8.407790786E-457FF4AFBE75D0 : Nan            
0BE4 - Float             7FF4AE2BE5F4 : 9.80908925E-45 7FF4AFBE75D4 : Nan            
0BE8 - Float             7FF4AE2BE5F8 : 1.121038771E-447FF4AFBE75D8 : Nan            
0BEC - Byte              7FF4AE2BE5FC : 9              7FF4AFBE75DC : 255            
0BED - Byte              7FF4AE2BE5FD : 0              7FF4AFBE75DD : 255            
0BEE - Byte              7FF4AE2BE5FE : 0              7FF4AFBE75DE : 255            
0BEF - Byte              7FF4AE2BE5FF : 0              7FF4AFBE75DF : 255            
0BF0 - Double            7FF4AE2BE600 : Nan            7FF4AFBE75E0 : Nan            
0BF8 - Double            7FF4AE2BE608 : 6.57818695351907FF4AFBE75E8 : 6.59940690989706E-312
0C00 - Double            7FF4AE2BE610 : 6.62062686934817FF4AFBE75F0 : 6.62062686934819E-312
0C08 - Float             7FF4AE2BE618 : 4.386064193E-437FF4AFBE75F8 : 4.386064193E-43
0C0C - Float             7FF4AE2BE61C : Nan            7FF4AFBE75FC : 4.862505671E-43
0C10 - Float             7FF4AE2BE620 : Nan            7FF4AFBE7600 : 6.361895028E-43
0C14 - 4 Bytes           7FF4AE2BE624 : 4294967295     7FF4AFBE7604 : 455            
0C18 - 4 Bytes           7FF4AE2BE628 : 10486085       7FF4AFBE7608 : 1701278305     
0C1C - 4 Bytes           7FF4AE2BE62C : 10486085       7FF4AFBE760C : 12916          
0C20 - 4 Bytes           7FF4AE2BE630 : 32             7FF4AFBE7610 : 32             
0C24 - 4 Bytes           7FF4AE2BE634 : 0              7FF4AFBE7614 : 0              
0C28 - 4 Bytes           7FF4AE2BE638 : 2966446832     7FF4AFBE7618 : 2824744672     
0C2C - 4 Bytes           7FF4AE2BE63C : 32756          7FF4AFBE761C : 32756          
0C30 - 4 Bytes           7FF4AE2BE640 : 2922112944     7FF4AFBE7620 : 2948495248     
0C34 - 4 Bytes           7FF4AE2BE644 : 32756          7FF4AFBE7624 : 32756          
0C38 - 4 Bytes           7FF4AE2BE648 : 2922112944     7FF4AFBE7628 : 2948495248     
0C3C - Pointer           7FF4AE2BE64C : P->AE2BE9B000007FF4AFBE762C : P->AFBE799000007FF4
0C44 - Pointer           7FF4AE2BE654 : P->4463BF9800007FF4AFBE7634 : P->4463BF9800007FF4
0C4C - 4 Bytes           7FF4AE2BE65C : 1              7FF4AFBE763C : 1              
0C50 - 4 Bytes           7FF4AE2BE660 : 0              7FF4AFBE7640 : 0              
0C54 - 4 Bytes           7FF4AE2BE664 : 1008160866     7FF4AFBE7644 : 29545          
0C58 - 4 Bytes           7FF4AE2BE668 : 3144744195     7FF4AFBE7648 : 0              
0C5C - 4 Bytes           7FF4AE2BE66C : 1033862628     7FF4AFBE764C : 0              
0C60 - 4 Bytes           7FF4AE2BE670 : 0              7FF4AFBE7650 : 2147483648     
0C64 - 4 Bytes           7FF4AE2BE674 : 0              7FF4AFBE7654 : 0              
0C68 - 4 Bytes           7FF4AE2BE678 : 0              7FF4AFBE7658 : 2147483648     
0C6C - 4 Bytes           7FF4AE2BE67C : 0              7FF4AFBE765C : 0              
0C70 - 4 Bytes           7FF4AE2BE680 : 0              7FF4AFBE7660 : 0              
0C74 - 4 Bytes           7FF4AE2BE684 : 0              7FF4AFBE7664 : 0              
0C78 - 4 Bytes           7FF4AE2BE688 : 0              7FF4AFBE7668 : 2850817504     
0C7C - Double            7FF4AE2BE68C : 0              7FF4AFBE766C : 1.61836142951759E-319
0C84 - 4 Bytes           7FF4AE2BE694 : 1092616192     7FF4AFBE7674 : 1092616192     
0C88 - Float             7FF4AE2BE698 : 1              7FF4AFBE7678 : 1              
0C8C - Byte              7FF4AE2BE69C : 0              7FF4AFBE767C : 0              
0C8D - Byte              7FF4AE2BE69D : 0              7FF4AFBE767D : 0              
0C8E - Byte              7FF4AE2BE69E : 0              7FF4AFBE767E : 0              
0C8F - Byte              7FF4AE2BE69F : 0              7FF4AFBE767F : 0              
0C90 - Float             7FF4AE2BE6A0 : 1.401298464E-457FF4AFBE7680 : 1.401298464E-45
0C94 - Float             7FF4AE2BE6A4 : 2.350988702E-387FF4AFBE7684 : 2.350988702E-38
0C98 - 4 Bytes           7FF4AE2BE6A8 : 50255616       7FF4AFBE7688 : 829715200      
0C9C - Pointer           7FF4AE2BE6AC : P->B8A0000015897FF4AFBE768C : P->6F46000000000000
0CA4 - Pointer           7FF4AE2BE6B4 : P->1000000000037FF4AFBE7694 : P->0000746F    
0CAC - Pointer           7FF4AE2BE6BC : P->251D1A10    7FF4AFBE769C : P->00000000    
0CB4 - Pointer           7FF4AE2BE6C4 : P->700000000   7FF4AFBE76A4 : P->700000000   
0CBC - Pointer           7FF4AE2BE6CC : P->44911CB000007FF4AFBE76AC : P->44911CB000000000
0CC4 - Pointer           7FF4AE2BE6D4 : P->37FF370100007FF4AFBE76B4 : P->100000001   
0CCC - Pointer           7FF4AE2BE6DC : P->FF37FFFF    7FF4AFBE76BC : P->00000000    
0CD4 - 4 Bytes           7FF4AE2BE6E4 : 0              7FF4AFBE76C4 : 0              
0CD8 - 4 Bytes           7FF4AE2BE6E8 : 0              7FF4AFBE76C8 : 0              
0CDC - 4 Bytes           7FF4AE2BE6EC : 0              7FF4AFBE76CC : 0              
0CE0 - 4 Bytes           7FF4AE2BE6F0 : 0              7FF4AFBE76D0 : 0              
0CE4 - Pointer           7FF4AE2BE6F4 : P->00000000    7FF4AFBE76D4 : P->00000000    
0CEC - 4 Bytes           7FF4AE2BE6FC : 0              7FF4AFBE76DC : 0              
0CF0 - 4 Bytes           7FF4AE2BE700 : 1147402360     7FF4AFBE76E0 : 1147402360     
0CF4 - 4 Bytes           7FF4AE2BE704 : 1              7FF4AFBE76E4 : 1              
0CF8 - 4 Bytes           7FF4AE2BE708 : 939521024      7FF4AFBE76E8 : 0              
0CFC - Pointer           7FF4AE2BE70C : P->FAE8930000007FF4AFBE76EC : P->FAE8976000000000
0D04 - 4 Bytes           7FF4AE2BE714 : 32755          7FF4AFBE76F4 : 32755          
0D08 - 4 Bytes           7FF4AE2BE718 : 0              7FF4AFBE76F8 : 0              
0D0C - 4 Bytes           7FF4AE2BE71C : 0              7FF4AFBE76FC : 0              
0D10 - 4 Bytes           7FF4AE2BE720 : 0              7FF4AFBE7700 : 0              
0D14 - Pointer           7FF4AE2BE724 : P->00000000    7FF4AFBE7704 : P->00000000    
0D1C - 4 Bytes           7FF4AE2BE72C : 0              7FF4AFBE770C : 0              
0D20 - 4 Bytes           7FF4AE2BE730 : 0              7FF4AFBE7710 : 0              
0D24 - 4 Bytes           7FF4AE2BE734 : 0              7FF4AFBE7714 : 0              
0D28 - 4 Bytes           7FF4AE2BE738 : 1147402360     7FF4AFBE7718 : 1147402360     
0D2C - 4 Bytes           7FF4AE2BE73C : 1              7FF4AFBE771C : 1              
0D30 - 4 Bytes           7FF4AE2BE740 : 4209546000     7FF4AFBE7720 : 4209544784     
0D34 - 4 Bytes           7FF4AE2BE744 : 32755          7FF4AFBE7724 : 32755          
0D38 - 4 Bytes           7FF4AE2BE748 : 0              7FF4AFBE7728 : 0              
0D3C - 4 Bytes           7FF4AE2BE74C : 0              7FF4AFBE772C : 0              
0D40 - 4 Bytes           7FF4AE2BE750 : 0              7FF4AFBE7730 : 0              
0D44 - Pointer           7FF4AE2BE754 : P->00000000    7FF4AFBE7734 : P->00000000    
0D4C - 4 Bytes           7FF4AE2BE75C : 0              7FF4AFBE773C : 0              
0D50 - 4 Bytes           7FF4AE2BE760 : 0              7FF4AFBE7740 : 0              
0D54 - 4 Bytes           7FF4AE2BE764 : 0              7FF4AFBE7744 : 0              
0D58 - 4 Bytes           7FF4AE2BE768 : 1147402360     7FF4AFBE7748 : 1147402360     
0D5C - 4 Bytes           7FF4AE2BE76C : 1              7FF4AFBE774C : 1              
0D60 - 4 Bytes           7FF4AE2BE770 : 2213092864     7FF4AFBE7750 : 1750359808     
0D64 - 4 Bytes           7FF4AE2BE774 : 2376674822     7FF4AFBE7754 : 1416128361     
0D68 - 4 Bytes           7FF4AE2BE778 : 0              7FF4AFBE7758 : 0              
0D6C - 4 Bytes           7FF4AE2BE77C : 0              7FF4AFBE775C : 0              
0D70 - 4 Bytes           7FF4AE2BE780 : 0              7FF4AFBE7760 : 0              
0D74 - 4 Bytes           7FF4AE2BE784 : 0              7FF4AFBE7764 : 0              
0D78 - 4 Bytes           7FF4AE2BE788 : 0              7FF4AFBE7768 : 0              
0D7C - Pointer           7FF4AE2BE78C : P->4463F87800007FF4AFBE776C : P->4463F87800000000
0D84 - Pointer           7FF4AE2BE794 : P->5AF2963100007FF4AFBE7774 : P->00000001    
0D8C - 4 Bytes           7FF4AE2BE79C : 3063566809     7FF4AFBE777C : 0              
0D90 - 4 Bytes           7FF4AE2BE7A0 : 3096001499     7FF4AFBE7780 : 1953460050     
0D94 - Pointer           7FF4AE2BE7A4 : P->AE2BE9B39AA27FF4AFBE7784 : P->AFBE799358746F52
0D9C - Pointer           7FF4AE2BE7AC : P->10400007FF4 7FF4AFBE778C : P->10500007FF4 
0DA4 - Pointer           7FF4AE2BE7B4 : P->00000000    7FF4AFBE7794 : P->AF8E394000000000
0DAC - Pointer           7FF4AE2BE7BC : P->BE29A84000007FF4AFBE779C : P->BF7A149100007FF4
0DB4 - Pointer           7FF4AE2BE7C4 : P->3F7C51E7BD077FF4AFBE77A4 : P->BE5AEFB400000000
0DBC - Pointer           7FF4AE2BE7CC : P->30FFFFE742B57FF4AFBE77AC : P->42B70891    
0DC4 - Pointer           7FF4AE2BE7D4 : P->3D095EA83F7F7FF4AFBE77B4 : P->3F800000    
0DCC - Pointer           7FF4AE2BE7DC : P->BF7C7643C3207FF4AFBE77BC : P->3E5AEFB4C31ECB0B
0DD4 - 4 Bytes           7FF4AE2BE7E4 : 1001788308     7FF4AFBE77C4 : 0              
0DD8 - 4 Bytes           7FF4AE2BE7E8 : 3190394832     7FF4AFBE77C8 : 3212448913     
0DDC - 4 Bytes           7FF4AE2BE7EC : 3287533959     7FF4AFBE77CC : 3287527236     
0DE0 - 4 Bytes           7FF4AE2BE7F0 : 2146944823     7FF4AFBE77D0 : 211            
0DE4 - 4 Bytes           7FF4AE2BE7F4 : 4153620479     7FF4AFBE77D4 : 0              
0DE8 - 4 Bytes           7FF4AE2BE7F8 : 1060634495     7FF4AFBE77D8 : 0              
0DEC - 4 Bytes           7FF4AE2BE7FC : 939491319      7FF4AFBE77DC : 0              
0DF0 - 4 Bytes           7FF4AE2BE800 : 4286576400     7FF4AFBE77E0 : 3212448912     
0DF4 - Pointer           7FF4AE2BE804 : P->F6E837FF7FE67FF4AFBE77E4 : P->BE5AEFC200000000
0DFC - Pointer           7FF4AE2BE80C : P->37FF7FF6F5377FF4AFBE77EC : P->42B6FC41    
0E04 - 4 Bytes           7FF4AE2BE814 : 4286576383     7FF4AFBE77F4 : 1065353216     
0E08 - 4 Bytes           7FF4AE2BE818 : 2146898743     7FF4AFBE77F8 : 0              
0E0C - Pointer           7FF4AE2BE81C : P->1A37FF7FF7157FF4AFBE77FC : P->3E5AEFC2C31E722C
0E14 - 4 Bytes           7FF4AE2BE824 : 939491319      7FF4AFBE7804 : 0              
0E18 - 4 Bytes           7FF4AE2BE828 : 4286576441     7FF4AFBE7808 : 3212448912     
0E1C - 4 Bytes           7FF4AE2BE82C : 2146932535     7FF4AFBE780C : 3287543500     
0E20 - 4 Bytes           7FF4AE2BE830 : 4162467839     7FF4AFBE7810 : 1750294348     
0E24 - 4 Bytes           7FF4AE2BE834 : 4281859967     7FF4AFBE7814 : 1684829551     
0E28 - 4 Bytes           7FF4AE2BE838 : 939491319      7FF4AFBE7818 : 29285          
0E2C - 4 Bytes           7FF4AE2BE83C : 4286576639     7FF4AFBE781C : 0              
0E30 - 4 Bytes           7FF4AE2BE840 : 55             7FF4AFBE7820 : 1884643148     
0E34 - Pointer           7FF4AE2BE844 : P->1100000000037FF4AFBE7824 : P->6D7241726570
0E3C - 4 Bytes           7FF4AE2BE84C : 757014289      7FF4AFBE782C : 0              
0E40 - 4 Bytes           7FF4AE2BE850 : 1329939765     7FF4AFBE7830 : 1816485708     
0E44 - 4 Bytes           7FF4AE2BE854 : 1784372047     7FF4AFBE7834 : 7827298        
0E48 - 4 Bytes           7FF4AE2BE858 : 2021161071     7FF4AFBE7838 : 0              
0E4C - 4 Bytes           7FF4AE2BE85C : 120            7FF4AFBE783C : 0              
0E50 - 4 Bytes           7FF4AE2BE860 : 3189842783     7FF4AFBE7840 : 1866882892     
0E54 - 4 Bytes           7FF4AE2BE864 : 3182497313     7FF4AFBE7844 : 1918985586     
0E58 - 4 Bytes           7FF4AE2BE868 : 1064806563     7FF4AFBE7848 : 109            
0E5C - Pointer           7FF4AE2BE86C : P->BD030DF73F7A7FF4AFBE784C : P->6F465F4C00000000
0E64 - 4 Bytes           7FF4AE2BE874 : 955522644      7FF4AFBE7854 : 1916888434     
0E68 - 4 Bytes           7FF4AE2BE878 : 4056944306     7FF4AFBE7858 : 1769428077     
0E6C - 4 Bytes           7FF4AE2BE87C : 614288365      7FF4AFBE785C : 29811          
0E70 - 4 Bytes           7FF4AE2BE880 : 1602671687     7FF4AFBE7860 : 1866882892     
0E74 - 4 Bytes           7FF4AE2BE884 : 3288609147     7FF4AFBE7864 : 1916888434     
0E78 - 4 Bytes           7FF4AE2BE888 : 1748984689     7FF4AFBE7868 : 1769428077     
0E7C - 4 Bytes           7FF4AE2BE88C : 2603976548     7FF4AFBE786C : 3241075        
0E80 - 4 Bytes           7FF4AE2BE890 : 2548008736     7FF4AFBE7870 : 1632132940     
0E84 - Pointer           7FF4AE2BE894 : P->FFFF4590C5A67FF4AFBE7874 : P->0000646E    
0E8C - 4 Bytes           7FF4AE2BE89C : 329449471      7FF4AFBE787C : 0              
0E90 - 4 Bytes           7FF4AE2BE8A0 : 4167294249     7FF4AFBE7880 : 1766219596     
